airport,icao,latitude,longitude
TSA,8990E6,25.135741,121.317772
TSA,780A57,25.029928,121.343787
TSA,8990EF,25.340571,121.387629
TSA,7502D9,25.127335,121.102651
TSA,899093,25.035793,121.191637
TSA,750258,24.992919,121.114525
TSA,8990B2,25.086422,121.239014
TSA,899035,25.076084,121.234235
MZG,899042,23.537696,119.709727
MZG,ABBE23,23.346085,119.891851
KNH,780E86,24.636658,118.604332
KNH,7815AF,24.438249,118.098519
KNH,7802A0,24.547134,118.002388
KNH,78057D,24.376556,117.963005
TPE,8990E6,25.130248,121.311761
TPE,8830EC,25.356628,121.048686
TPE,780A57,25.035561,121.350576
TPE,8990EF,25.343857,121.391754
TPE,7502D9,25.130341,121.105145
TPE,899093,25.033838,121.189097
TPE,89907B,24.950867,120.870921
TPE,8991D5,25.005348,120.771876
TPE,899080,25.032944,120.874125
TPE,899128,24.831848,120.883968
TPE,750258,24.990917,121.111986
TPE,8990F0,24.962082,120.992991
TPE,8990B2,25.086422,121.239014
TPE,899035,25.076084,121.234235
KHH,8880D5,22.581528,120.200317
KHH,885310,22.542801,120.114774
KHH,899072,22.792694,120.138844
RMQ,71BF46,24.643478,120.520579
RMQ,8991B2,24.352158,120.60435
LZN,780C0A,26.444557,119.629704
LZN,781110,26.420257,119.688439
LZN,781DD1,26.114781,119.764921
TTT,71BF89,22.922607,121.192133
TNN,8880D5,22.581699,120.195618
TNN,899072,22.797562,120.139923
MFK,780C0A,26.444557,119.629704
MFK,781110,26.420257,119.688439
MFK,781DD1,26.114781,119.764921
HUN,71C012,24.189101,121.975293
HUN,71C086,23.635502,121.729811
GNI,71BF89,22.922607,121.192133
WOT,899042,23.542145,119.713723
WOT,ABBE23,23.355584,119.906158
HCN,86EBD8,21.856934,121.00981
